"","width","SRR1532959","SRR1532960","SRR1532961","SRR1532962","SRR1532963","SRR1532964"
"WBGene00000001",1806,109,57,135,67,202,147
"WBGene00000002",1739,0,0,0,0,1,1
"WBGene00000003",1738,1,3,4,4,3,6
"WBGene00000004",2027,3,2,2,1,3,5
"WBGene00000005",1821,0,0,0,0,0,0
"WBGene00000006",1937,0,0,0,0,0,0
"WBGene00000007",1765,0,0,0,0,0,0
"WBGene00000008",1593,0,0,0,0,0,0
"WBGene00000009",1562,0,0,0,0,0,0
"WBGene00000010",2089,20,7,22,14,29,25
"WBGene00000012",314,0,0,0,0,0,0
"WBGene00000013",258,0,0,0,0,0,0
"WBGene00000014",270,0,0,0,0,0,0
"WBGene00000015",441,0,0,0,0,0,0
"WBGene00000016",479,0,0,0,0,0,0
"WBGene00000017",702,0,0,0,0,0,0
"WBGene00000018",4479,64,15,96,57,103,76
"WBGene00000019",4719,0,0,0,0,0,0
"WBGene00000020",6672,0,0,0,0,2,0
"WBGene00000021",4538,0,0,0,0,0,0
"WBGene00000022",5543,0,0,0,0,0,0
"WBGene00000023",4875,0,0,0,0,2,0
"WBGene00000024",1405,0,0,0,0,0,0
"WBGene00000025",1719,0,0,0,0,0,0
"WBGene00000026",981,0,0,0,0,0,0
"WBGene00000027",1060,0,0,0,0,0,0
"WBGene00000028",1008,0,0,0,0,0,0
"WBGene00000029",1167,0,0,0,0,0,0
"WBGene00000030",1466,0,0,0,0,0,0
"WBGene00000031",1523,0,0,0,0,0,0
"WBGene00000032",1137,0,0,0,0,0,0
"WBGene00000033",1268,0,0,0,0,0,0
"WBGene00000034",1295,0,0,0,0,0,0
"WBGene00000035",2468,0,0,1,0,2,0
"WBGene00000036",2987,0,0,0,0,0,0
"WBGene00000037",2200,0,0,0,0,0,0
"WBGene00000038",2065,0,0,0,0,0,0
"WBGene00000039",3082,0,0,1,0,2,3
"WBGene00000040",2831,104,47,122,92,204,168
"WBGene00000041",2902,79,53,124,114,288,219
"WBGene00000042",2037,0,0,0,0,0,0
"WBGene00000043",1659,0,0,0,0,0,1
"WBGene00000044",2059,0,0,0,0,0,0
"WBGene00000045",1666,0,0,0,0,0,0
"WBGene00000046",1723,0,0,0,0,0,0
"WBGene00000047",1810,1,0,0,0,3,0
"WBGene00000048",1944,0,0,0,0,0,2
"WBGene00000049",1743,0,0,0,0,0,0
"WBGene00000050",1473,0,1,1,0,0,3
"WBGene00000051",2059,0,0,0,0,0,0
"WBGene00000053",1503,0,0,0,0,0,0
"WBGene00000054",1501,0,0,0,0,0,0
"WBGene00000055",1822,5,9,5,7,13,9
"WBGene00000056",2354,1,0,2,1,2,1
"WBGene00000057",1615,2,0,0,1,0,1
"WBGene00000058",1983,0,0,1,0,0,0
"WBGene00000059",1847,15,8,40,21,55,26
"WBGene00000060",1981,0,0,0,0,0,0
"WBGene00000061",1478,0,0,0,0,0,0
"WBGene00000062",1795,0,0,0,0,0,0
"WBGene00000063",1264,208,224,290,190,521,372
"WBGene00000064",1281,1074,1093,1500,974,2250,2093
"WBGene00000065",1558,219,212,395,229,625,497
"WBGene00000066",1601,33,36,23,13,38,49
"WBGene00000067",1270,0,0,2,0,0,2
"WBGene00000068",4234,0,0,3,0,0,1
"WBGene00000069",3313,0,0,0,0,0,1
"WBGene00000070",4040,0,0,2,0,0,0
"WBGene00000071",3265,0,0,1,0,1,0
"WBGene00000072",2620,0,0,0,0,0,0
"WBGene00000073",1951,47,18,80,54,108,91
"WBGene00000074",3262,36,12,41,20,52,54
"WBGene00000075",2522,61,39,109,66,129,114
"WBGene00000079",3181,16,3,34,20,42,43
"WBGene00000080",1622,160,84,179,142,320,284
"WBGene00000081",1879,1,0,0,0,0,4
"WBGene00000082",4802,0,0,0,0,0,0
"WBGene00000083",4530,0,0,0,0,0,0
"WBGene00000084",3286,0,0,0,0,0,0
"WBGene00000085",1220,0,0,0,0,0,0
"WBGene00000086",4909,2,0,0,0,1,0
"WBGene00000088",1798,0,0,0,1,0,1
"WBGene00000089",972,0,0,0,1,0,0
"WBGene00000090",3929,193,36,166,46,268,124
"WBGene00000092",2620,40,18,60,31,78,62
"WBGene00000093",776,10,21,12,18,36,29
"WBGene00000094",1463,60,19,73,37,146,153
"WBGene00000095",1603,55,24,49,32,84,65
"WBGene00000096",1871,0,0,0,0,0,0
"WBGene00000097",1059,25,31,23,20,56,42
"WBGene00000098",1338,454,345,623,417,920,756
"WBGene00000099",1191,84,58,128,80,219,169
"WBGene00000100",7842,18,3,25,13,21,33
